Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR7813291,2019-07-15 13:18:30,2018-09-10 10:22:22,38529,23117400,38529,600,11,,https://sra-download.ncbi.nlm.nih.gov/traces/sra32/SRR/007630/SRR7813291,SRX4664979,JER_4_Week12,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760045,SAMN09992832,simple,408170,human gut metagenome,JER_4_Week12,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,1CAC889060663A473798F7EF15478140,E41EA203C8F829C6E37ABA092069F4B6
SRR7813290,2019-07-15 13:18:30,2018-09-10 10:22:28,47285,28371000,47285,600,14,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/007630/SRR7813290,SRX4664980,JER_5_Week0,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760046,SAMN09992835,simple,408170,human gut metagenome,JER_5_Week0,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,FE3884CAB07AE28E0E79174456C045EA,7A2DC4587017181EF2D8BD6C7CA2DEC0
SRR7813289,2019-07-15 13:18:30,2018-09-10 10:22:11,10973,6583800,10973,600,3,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR7813289/SRR7813289.1,SRX4664981,JER_4_Week8,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760047,SAMN09992834,simple,408170,human gut metagenome,JER_4_Week8,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,7EEE7B249DAF380434AFE3F7BFED6070,231C94954E826396C02F4299EBF1ACC8
SRR7813288,2019-07-15 13:18:30,2018-09-10 10:22:25,41161,24696600,41161,600,12,,https://sra-download.ncbi.nlm.nih.gov/traces/sra32/SRR/007630/SRR7813288,SRX4664982,JER_7_Week4,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760048,SAMN09992841,simple,408170,human gut metagenome,JER_7_Week4,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,31DF54FDB57AD89EDD08B4303A4F5B62,E2F0BBC5A4C8B3D41230D0E56A4718BF
SRR7813286,2019-07-15 13:18:30,2018-09-10 10:22:19,42296,25377600,42296,600,12,,https://sra-download.ncbi.nlm.nih.gov/traces/sra32/SRR/007630/SRR7813286,SRX4664984,REH_10_Week0,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760049,SAMN09992906,simple,408170,human gut metagenome,REH_10_Week0,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,0A19F10B5EED04015B953581152F94B8,77A0E0583F59BD01C7B640CF29C9C27E
SRR7813287,2019-07-15 13:18:30,2018-09-10 10:22:24,44595,26757000,44595,600,13,,https://sra-download.ncbi.nlm.nih.gov/traces/sra32/SRR/007630/SRR7813287,SRX4664983,JER_7_Week0,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760050,SAMN09992840,simple,408170,human gut metagenome,JER_7_Week0,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,94808C4D1301F896C4D538ED7753E4AD,04E896BD86D153C8816DD1071C8BE5EF
SRR7813285,2019-07-15 13:18:30,2018-09-10 10:22:25,40935,24561000,40935,600,12,,https://sra-download.ncbi.nlm.nih.gov/traces/sra32/SRR/007630/SRR7813285,SRX4664985,REH_10_Week12,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760051,SAMN09992907,simple,408170,human gut metagenome,REH_10_Week12,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,85438CFAF6377913DA701EAC5DED8B22,AFE8202A32A044509F29BC592F1F61BE
SRR7813284,2019-07-15 13:18:30,2018-09-10 10:22:19,41690,25014000,41690,600,12,,https://sra-download.ncbi.nlm.nih.gov/traces/sra32/SRR/007630/SRR7813284,SRX4664986,REH_10_Week4,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760052,SAMN09992908,simple,408170,human gut metagenome,REH_10_Week4,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,8FC1B8C2A112DAF6E6521CD1C9874503,D123A0ABB3CC175BB4814F7F757D2A2E
SRR7813282,2019-07-15 13:18:30,2018-09-10 10:22:17,37888,22732800,37888,600,11,,https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/007630/SRR7813282,SRX4664988,REH_9_Week0,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760053,SAMN09992902,simple,408170,human gut metagenome,REH_9_Week0,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,D60A01A4F0BA023EA14A552269DA5848,6780C73428FD2104174F5C5074A4DA8A
SRR7813281,2019-07-15 13:18:30,2018-09-10 10:22:12,49344,29606400,49344,600,15,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR7813281/SRR7813281.1,SRX4664989,REH_9_Week12,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760054,SAMN09992903,simple,408170,human gut metagenome,REH_9_Week12,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,5608D94D6D33F7471BB93D8361E9326B,0DA59E2906CCCDDF24F8E2B09E0BEA37
SRR7813280,2019-07-15 13:18:30,2018-09-10 10:21:59,27115,16269000,27115,600,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR7813280/SRR7813280.1,SRX4664990,REH_9_Week4,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760055,SAMN09992904,simple,408170,human gut metagenome,REH_9_Week4,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,4C7ECCD9E428026CB7A45225F5ACBFE3,5076CCFEFB544B4371338F9B0EDBC681
SRR7813279,2019-07-15 13:18:30,2018-09-10 10:22:04,40750,24450000,40750,600,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR7813279/SRR7813279.1,SRX4664991,REH_9_Week8,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760056,SAMN09992905,simple,408170,human gut metagenome,REH_9_Week8,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,67260B6A01EDF1B411F3C6324EEDF22C,23D10F66424B0D2B8884EE87C161C536
SRR7813278,2019-07-15 13:18:30,2018-09-10 10:22:02,18733,11239800,18733,600,5,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR7813278/SRR7813278.1,SRX4664992,REH_11_Week0,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760057,SAMN09992910,simple,408170,human gut metagenome,REH_11_Week0,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,8EBD01071EE0E662400E01710C1A04F3,67E612FAC9EF41F40112BEEEFCCFD602
SRR7813277,2019-07-15 13:18:30,2018-09-10 10:21:50,16615,9969000,16615,600,5,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/007630/SRR7813277,SRX4664993,REH_11_Week12,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760058,SAMN09992911,simple,408170,human gut metagenome,REH_11_Week12,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,83A8F349D46074228876A22892F26473,BCE3F175A3B5DA7C45E1ADF4639C1C7C
SRR7813276,2019-07-15 13:18:30,2018-09-10 10:22:00,41021,24612600,41021,600,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR7813276/SRR7813276.1,SRX4664994,TLV_13_Week0,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760059,SAMN09992968,simple,408170,human gut metagenome,TLV_13_Week0,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,C92A3E3D71EE842D8CC6F8FBD3B7554F,A43B9EE4431AA5D5424A85768B50AC48
SRR7813275,2019-07-15 13:18:30,2018-09-10 10:22:04,42170,25302000,42170,600,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR7813275/SRR7813275.1,SRX4664995,TLV_13_Week12,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760060,SAMN09992969,simple,408170,human gut metagenome,TLV_13_Week12,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,49B97CBC2DB8163EDAEDD0141110060E,10356DFF52104E46F7767FFB097C4F55
SRR7813273,2019-07-15 13:18:30,2018-09-10 10:22:04,37089,22253400,37089,600,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR7813273/SRR7813273.1,SRX4664997,TLV_11_Week8,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760061,SAMN09992967,simple,408170,human gut metagenome,TLV_11_Week8,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,970D59E4036FF23C666631E11DB82C60,55189E5787EC92E1FE980FA9A53D963C
SRR7813274,2019-07-15 13:18:30,2018-09-10 10:21:59,41920,25152000,41920,600,13,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR7813274/SRR7813274.1,SRX4664996,TLV_11_Week0,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760062,SAMN09992966,simple,408170,human gut metagenome,TLV_11_Week0,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,4E10EC6AC743435027A63AEDE314601A,5F4739DCDAF6C784027160F8DD55A314
SRR7813271,2019-07-15 13:18:30,2018-09-10 10:21:55,36673,22003800,36673,600,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR7813271/SRR7813271.1,SRX4664999,TLV_9_Week8,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760063,SAMN09992965,simple,408170,human gut metagenome,TLV_9_Week8,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,D72F06A8EDAE22813212F52D24F9346F,CD2DE67AFFDAE747FDF561607A9C265B
SRR7813272,2019-07-15 13:18:30,2018-09-10 10:21:51,36275,21765000,36275,600,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR7813272/SRR7813272.1,SRX4664998,TLV_9_Week4,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760064,SAMN09992964,simple,408170,human gut metagenome,TLV_9_Week4,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,7A0A2ECE6688B27F6E093E3C1EBE8310,172C8EC695DD430D3845FE6FCDAF3D36
SRR7813270,2019-07-15 13:18:30,2018-09-10 10:21:56,36333,21799800,36333,600,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR7813270/SRR7813270.1,SRX4665000,TLV_7_Week8,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760065,SAMN09992962,simple,408170,human gut metagenome,TLV_7_Week8,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,0E9384B409A7F3FB8F006D40A1554BD1,8C8641A122658AA26899F101D64C7876
SRR7813269,2019-07-15 13:18:30,2018-09-10 10:21:47,33424,20054400,33424,600,9,,https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/007630/SRR7813269,SRX4665001,TLV_9_Week0,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760066,SAMN09992963,simple,408170,human gut metagenome,TLV_9_Week0,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,7159841C20116E01A4B4ABD845E68947,11BA46A024C9CDD99C473ABFEC59A6D4
SRR7813268,2019-07-15 13:18:30,2018-09-10 10:21:54,42251,25350600,42251,600,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR7813268/SRR7813268.1,SRX4665002,WAR_7_Week0,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760067,SAMN09993014,simple,408170,human gut metagenome,WAR_7_Week0,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,BCB1F6F00F46565543A3191C343E11E4,63510C62F56812D8C181DE9EAEDB813B
SRR7813267,2019-07-15 13:18:30,2018-09-10 10:21:49,41877,25126200,41877,600,12,,https://sra-download.ncbi.nlm.nih.gov/traces/sra32/SRR/007630/SRR7813267,SRX4665003,TLV_13_Week4,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760068,SAMN09992970,simple,408170,human gut metagenome,TLV_13_Week4,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,7225381602C17ECC83974B38C7F00B45,031688238276FB520E1D865CC290635D
SRR7813266,2019-07-15 13:18:30,2018-09-10 10:21:51,47538,28522800,47538,600,14,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR7813266/SRR7813266.1,SRX4665004,TLV_13_Week8,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760069,SAMN09992971,simple,408170,human gut metagenome,TLV_13_Week8,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,35CA8501F9306ECBF24EC9D64116A55C,A4194D92DBEA3625BFFF126D1998CDA8
SRR7813265,2019-07-15 13:18:30,2018-09-10 10:21:42,43450,26070000,43450,600,12,,https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/007630/SRR7813265,SRX4665005,WAR_7_Week12,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760070,SAMN09993015,simple,408170,human gut metagenome,WAR_7_Week12,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,C838EFAE2F277BD757C43D000AEAE46D,0F2EEF590AABCE98E2955BC72D65DEBD
SRR7813264,2019-07-15 13:18:30,2018-09-10 10:21:49,47554,28532400,47554,600,14,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/007630/SRR7813264,SRX4665006,KRA_2_Week8,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760071,SAMN09992865,simple,408170,human gut metagenome,KRA_2_Week8,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,24479BF743E18BEFADDF2E4829B7BF45,9952E2296F892B47E2E1B504EC4D6D38
SRR7813263,2019-07-15 13:18:30,2018-09-10 10:21:50,37191,22314600,37191,600,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR7813263/SRR7813263.1,SRX4665007,WAR_8_Week4,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760072,SAMN09993020,simple,408170,human gut metagenome,WAR_8_Week4,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,E93DA9E8FC9050D2B3615BE14A7CD63B,54EE12965ED2343EBCBA7AB87FA5B0B1
SRR7813494,2019-07-15 13:18:30,2018-09-10 10:23:32,36009,21605400,36009,600,11,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/007630/SRR7813494,SRX4665008,JER_2_Week8,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760073,SAMN09992828,simple,408170,human gut metagenome,JER_2_Week8,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,DBABDDBCC522A91A8A268DD6BACD1CD9,0FD9B57FE96EFB3477565F93D2F6C46A
SRR7813493,2019-07-15 13:18:30,2018-09-10 10:23:39,59105,35463000,59105,600,19,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR7813493/SRR7813493.1,SRX4665009,JER_3_Week0,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760074,SAMN09992829,simple,408170,human gut metagenome,JER_3_Week0,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,4219AA398E08F5F87D5938BFAE151970,C3C1FAB5ED15E694BFABC48F1DC5443E
SRR7813490,2019-07-15 13:18:30,2018-09-10 10:23:31,37655,22593000,37655,600,11,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/007630/SRR7813490,SRX4665012,HAI_2_Week8,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760075,SAMN09992824,simple,408170,human gut metagenome,HAI_2_Week8,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,A16F8E2184D315578951D5721342D14B,5DB7F24FAF40FFC0DD9C45AD11F20413
SRR7813492,2019-07-15 13:18:30,2018-09-10 10:23:56,42501,25500600,42501,600,12,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/007630/SRR7813492,SRX4665010,JER_2_Week12,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760076,SAMN09992826,simple,408170,human gut metagenome,JER_2_Week12,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,3CE21AC99A3C34B09C418E2A2FDDBC79,259CF90CCF1F4CA2EC880AC879100FCD
SRR7813491,2019-07-15 13:18:30,2018-09-10 10:23:30,34925,20955000,34925,600,10,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/007630/SRR7813491,SRX4665011,JER_2_Week4,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760077,SAMN09992827,simple,408170,human gut metagenome,JER_2_Week4,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,A8C3F31E480C32EADBCD9366AD05C558,7692214ADAC686A0FD3346A2FEC6ABAB
SRR7813489,2019-07-15 13:18:30,2018-09-10 10:23:32,36031,21618600,36031,600,10,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/007630/SRR7813489,SRX4665013,JER_2_Week0,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760078,SAMN09992825,simple,408170,human gut metagenome,JER_2_Week0,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,09422DA4AB8ABB33E26CF8C800CF56A0,9846834741ED290C1436B07DA27FEF46
SRR7813488,2019-07-15 13:18:30,2018-09-10 10:23:16,9239,5543400,9239,600,2,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/007630/SRR7813488,SRX4665014,HAI_2_Week12,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760079,SAMN09992822,simple,408170,human gut metagenome,HAI_2_Week12,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,67FC778BEA3D109E5A29E15C282D1703,8075CB4877F5809314C20D1EE450DA83
